VERB,EMPLOI,IDX,Verbe freq.
disputer,Fréquent - Transitif - Autorise la forme pronominale,25,626
dissiper,Fréquent - Transitif - Autorise la forme pronominale,25,774
dissoudre,Transitif - Autorise la forme pronominale,50,447
distinguer,Fréquent - Transitif - Autorise la forme pronominale,25,3852
distraire,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
distribuer,Fréquent - Transitif,24,#N/A
diverger,Intransitif,29,#N/A
divertir,Transitif - Autorise la forme pronominale,50,#N/A
diviser,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
divorcer,Intransitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,39,#N/A
divulguer,Transitif - Autorise la forme pronominale,50,#N/A
doigter,Intransitif - Transitif,41,#N/A
doler,Transitif,49,#N/A
dominer,Fréquent - Transitif - Autorise la forme pronominale,25,2370
donner,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,35587
doper,Transitif - Autorise la forme pronominale,50,#N/A
dorer,Transitif - Autorise la forme pronominale,50,#N/A
dorloter,Transitif - Autorise la forme pronominale,50,67
dormir,Fréquent - Intransitif,6,6719
doter,Transitif - Autorise la forme pronominale,50,#N/A
doubler,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
doucher,Transitif - Autorise la forme pronominale,50,#N/A
douer,Transitif - Défectif,55,#N/A
douter,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
draguer,Intransitif - Transitif,41,#N/A
draper,Transitif - Autorise la forme pronominale,50,#N/A
dresser,Fréquent - Transitif - Autorise la forme pronominale,25,2661
duper,Transitif - Autorise la forme pronominale,50,#N/A
dupliquer,Transitif,49,#N/A
durcir,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
durer,Fréquent - Intransitif,6,2446
ébahir,Transitif - Autorise la forme pronominale,50,#N/A
s'ébattre,Autorise la forme pronominale,0,#N/A
éberluer,Transitif,49,#N/A
éblouir,Transitif,49,#N/A
échanger,Fréquent - Transitif,24,#N/A
échapper,Fréquent - Intransitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,11,4908
écher,Transitif,49,#N/A
échoir,Intransitif - Se conjugue avec l'auxiliaire être aux temps composés,36,#N/A
échouer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,19,#N/A
éclabousser,Transitif,49,#N/A
éclaircir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
éclairer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
éclater,Fréquent - Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,19,3322
éclore,Intransitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,39,#N/A
écœurer,Transitif,49,#N/A
éconduire,Transitif,49,#N/A
écouler,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
écouter,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,10160
écraser,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,1611
s'écrier,Fréquent - Autorise la forme pronominale,4,#N/A
écrire,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,12041
éditer,Transitif,49,#N/A
éduquer,Transitif,49,#N/A
effacer,Fréquent - Transitif - Autorise la forme pronominale,25,1793
effectuer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
effleurer,Transitif,49,#N/A
effondrer,Transitif - Autorise la forme pronominale,50,393
s'efforcer,Fréquent - Autorise la forme pronominale,4,#N/A
effrayer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
égaler,Transitif,49,#N/A
égarer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
égayer,Transitif - Autorise la forme pronominale,50,#N/A
égoutter,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
égrainer,Transitif - Autorise la forme pronominale,50,#N/A
égrener,Transitif - Autorise la forme pronominale,50,#N/A
éjaculer,Transitif,49,#N/A
élaborer,Transitif - Autorise la forme pronominale,50,#N/A
élaguer,Transitif,49,18
élancer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
élargir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
élever,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
éliminer,Intransitif - Transitif,41,397
élire,Fréquent - Transitif,24,#N/A
éloigner,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
émaner,Intransitif,29,366
emballer,Transitif - Autorise la forme pronominale,50,#N/A
embarquer,Transitif - Autorise la forme pronominale,50,#N/A
embarrasser,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
embatre,Transitif,49,#N/A
embaucher,Transitif - Autorise la forme pronominale,50,#N/A
embellir,Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,43,#N/A
embêter,Transitif - Autorise la forme pronominale,50,#N/A
s'emboire,Autorise la forme pronominale,0,#N/A
embraser,Transitif - Autorise la forme pronominale,50,#N/A
embrasser,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
embrayer,Transitif,49,10
émerger,Intransitif,29,#N/A
émettre,Intransitif - Transitif,41,#N/A
émier,Transitif,49,#N/A
emmêler,Transitif,49,#N/A
emménager,Intransitif - Transitif,41,#N/A
emmener,Fréquent - Transitif,24,#N/A
émoudre,Transitif,49,#N/A
émouvoir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
s'emparer,Fréquent - Autorise la forme pronominale,4,#N/A
empêcher,Transitif - Autorise la forme pronominale,50,6374
empiéter,Intransitif,29,#N/A
empirer,Intransitif - Transitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,47,#N/A
emplir,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
employer,Fréquent - Transitif - Autorise la forme pronominale,25,2209
emporter,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
empreindre,Transitif - Autorise la forme pronominale,50,#N/A
s'empresser,Fréquent - Autorise la forme pronominale,4,#N/A
emprunter,Fréquent - Transitif,24,712
