VERB,TEMPLATE,S'EN,CAN BE PASSIVE,CAN BE FEMININ,PRONOMINAL ONLY,CAN BE PRONOMINAL,HAVE 2 FORMS OF CONJOUGATION,Fréquent,Transitif,Intransitif,pronominale,Impersonnel,*,Défectif,BE,Afrique,Québec,AVOIR,ÊTRE,DEFECTIVE,IMPERSONNEL,книжный,редкоупотребимый,устаревший,слэнг,GROUP No,Règle IDX,
,,,,,,,,is_frequent,is_transitive,is_intransitive,is_pronominal,,aspirate_h,,belgium,africa,canada,conjugated_with_avoir,conjugated_with_etre,is_defective,is_impersonal,book,is_rare,is_archaique,is_slang,group_no,,
acquitter,aim:er,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,1,,1,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,2
acter,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,#N/A,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
actionner,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,#N/A,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
activer,aim:er,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,1,1,1,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,3
actualiser,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,#N/A,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
adapter,aim:er,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,1,,1,,,#N/A,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,2
additionner,aim:er,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,1,,1,,,#N/A,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,2
adjectiver,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,#N/A,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
adjectiviser,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
adjurer,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
