Группа,Прямая форма,Возвратная форма
I,dissocier,se dissocier
I,distancer,se distancer
I,distancier,se distancier
I,distinguer,se distinguer
I,distribuer,se distribuer
I,diversifier,se diversifier
I,diviser,se diviser
I,divulguer,se divulguer
I,documenter,se documenter
I,dominer,se dominer
I,donner,se donner
I,doper,se doper
I,dorer,se dorer
I,dorloter,se dorloter
I,doter,se doter
I,doubler,se doubler
I,doucher,se doucher
I,douter,se douter
I,draper,se draper
I,dresser,se dresser
I,droguer,se droguer
I,duper,se duper
I,duveter,se duveter
I,ébaucher,s'ébaucher
I,éborgner,s'éborgner
I,ébouillanter,s'ébouillanter
I,ébouler,s'ébouler
I,ébrécher,s'ébrécher
I,ébranler,s'ébranler
I,ébrouer,s'ébrouer
I,ébruiter,s'ébruiter
I,écailler,s'écailler
I,écaler,s'écaler
I,écarter,s'écarter
I,échanger,s'échanger
I,échapper,s'échapper
I,écharper,s'écharper
I,échauder,s'échauder
I,échauffer,s'échauffer
I,échelonner,s'échelonner
I,échiner,s'échiner
I,échouer,s'échouer
I,éclabousser,s'éclabousser
I,éclairer,s'éclairer
I,éclater,s'éclater
I,éclipser,s'éclipser
I,écorcher,s'écorcher
I,écouler,s'écouler
I,écouter,s'écouter
I,écrier,s'écrier
I,écraser,s'écraser
I,écrouler,s'écrouler
I,effacer,s'effacer
I,effarer,s'effarer
I,effaroucher,s'effaroucher
I,effectuer,s'effectuer
I,effeuiller,s'effeuiller
I,effiler,s'effiler
I,effilocher,s'effilocher
I,efflanquer,s'efflanquer
I,effondrer,s'effondrer
I,efforcer,s'efforcer
I,effrayer,s'effrayer
I,effranger,s'effranger
I,effriter,s'effriter
I,égayer,s'égayer
I,égailler,s'égailler
I,égarer,s'égarer
I,égorger,s'égorger
I,égosiller,s'égosiller
I,égoutter,s'égoutter
I,égrener,s'égrener
I,égrainer,s'égrainer
I,égratigner,s'égratigner
I,éjecter,s'éjecter
I,élever,s'élever
I,élaborer,s'élaborer
I,élancer,s'élancer
I,électrocuter,s'électrocuter
I,élider,s'élider
I,éliminer,s'éliminer
I,éloigner,s'éloigner
I,émacier,s'émacier
I,émanciper,s'émanciper
I,emballer,s'emballer
I,embaquer,s'embaquer
I,embarbouiller,s'embarbouiller
I,embarder,s'embarder
I,embarquer,s'embarquer
I,embarrer,s'embarrer
I,embarrasser,s'embarrasser
I,embaucher,s'embaucher
I,embéguiner,s'embéguiner
I,emberlificoter,s'emberlificoter
I,embêter,s'embêter
I,emboîter,s'emboîter
I,embosser,s'embosser
I,embourber,s'embourber
I,embourgeoiser,s'embourgeoiser
I,embourrer,s'embourrer
I,embrancher,s'embrancher
I,embraser,s'embraser
I,embrasser,s'embrasser
I,embrigader,s'embrigader
I,embringuer,s'embringuer
I,embrouiller,s'embrouiller
I,embroussailler,s'embroussailler
I,embuer,s'embuer
I,embusquer,s'embusquer
I,émerveiller,s'émerveiller
I,émietter,s'émietter
I,emmailloter,s'emmailloter
I,emmancher,s'emmancher
I,emmêler,s'emmêler
I,emmerder,s'emmerder
I,emmitoufler,s'emmitoufler
I,émousser,s'émousser
I,empaler,s'empaler
I,emparer,s'emparer
I,empâter,s'empâter
I,empêcher,s'empêcher
I,empêtrer,s'empêtrer
I,empiffrer,s'empiffrer
